pred_person,true_person,pred_rank,true_rank,pred_title_or_role,true_title_or_role,pred_organization,true_organization,line_number,source_uuid,link_to_ann
Jimoh Moshood,Jimoh Moshood,['Superintendent of Police'],[],['FCT Police Spokesman'],"['Superintendent of Police', 'FCT Police Spokesman']",[],[],7,546826b0-3d58-4a16-904c-ec001189b28e,https://github.com/security-force-monitor/nlp_starter_dataset/blob/master/annotated_sources/546826b0-3d58-4a16-904c-ec001189b28e.txt
Abdulkadir Indabawa,,[],[],[],[],[],[],11,546826b0-3d58-4a16-904c-ec001189b28e,https://github.com/security-force-monitor/nlp_starter_dataset/blob/master/annotated_sources/546826b0-3d58-4a16-904c-ec001189b28e.txt
Agbo Robinson,Agbo Robinson,['Brigadier- General'],['Brigadier- General'],['Barracks Commander'],['Barracks Commander'],[],[],12,546826b0-3d58-4a16-904c-ec001189b28e,https://github.com/security-force-monitor/nlp_starter_dataset/blob/master/annotated_sources/546826b0-3d58-4a16-904c-ec001189b28e.txt
Isidore Edet,Isidore Edet,['Maj.-Gen'],['Maj.-Gen.'],['General Officer Commanding'],['General Officer Commanding (GOC)'],['81 Division'],['81 Division'],3,152dda04-94ea-496c-a844-17c614fa219c,https://github.com/security-force-monitor/nlp_starter_dataset/blob/master/annotated_sources/152dda04-94ea-496c-a844-17c614fa219c.txt
Ebenezer Oyefolu,Ebenezer Oyefolu,['Maj. Gen'],['Maj. Gen.'],[],[],[],[],3,152dda04-94ea-496c-a844-17c614fa219c,https://github.com/security-force-monitor/nlp_starter_dataset/blob/master/annotated_sources/152dda04-94ea-496c-a844-17c614fa219c.txt
Division,,[],[],[],[],['News Agency of Nigeria (NAN)'],[],4,152dda04-94ea-496c-a844-17c614fa219c,https://github.com/security-force-monitor/nlp_starter_dataset/blob/master/annotated_sources/152dda04-94ea-496c-a844-17c614fa219c.txt
Ibrahim Attahiru,"Ibrahim Attahiru,",['General'],['General'],['General Officer Commanding'],['General Officer Commanding (GOC)'],['82 Division'],['82 Division'],8,152dda04-94ea-496c-a844-17c614fa219c,https://github.com/security-force-monitor/nlp_starter_dataset/blob/master/annotated_sources/152dda04-94ea-496c-a844-17c614fa219c.txt
Attahiru,,['General'],[],[],[],['Nigeria Army'],[],9,152dda04-94ea-496c-a844-17c614fa219c,https://github.com/security-force-monitor/nlp_starter_dataset/blob/master/annotated_sources/152dda04-94ea-496c-a844-17c614fa219c.txt
Emmanuel Abejirin,Emmanuel Abejirin,['Maj.-Gen'],['Maj.-Gen.'],['General Officer Commanding'],['General Officer Commanding'],"['2 Division', 'Nigeria Army']",['2 Division'],3,6e34fc31-810c-4002-94ff-b981081110cf,https://github.com/security-force-monitor/nlp_starter_dataset/blob/master/annotated_sources/6e34fc31-810c-4002-94ff-b981081110cf.txt
Okwudili Azinta,Okwudili Azinta,['Brig.-Gen'],['Brig.-Gen.'],['Commander'],['Commander'],['4 Brigade'],"['4 Brigade,']",8,6e34fc31-810c-4002-94ff-b981081110cf,https://github.com/security-force-monitor/nlp_starter_dataset/blob/master/annotated_sources/6e34fc31-810c-4002-94ff-b981081110cf.txt
Azinta,Azinta,['Brig.-Gen'],['Brig.-Gen'],[],[],[],[],10,6e34fc31-810c-4002-94ff-b981081110cf,https://github.com/security-force-monitor/nlp_starter_dataset/blob/master/annotated_sources/6e34fc31-810c-4002-94ff-b981081110cf.txt
Onyemoabi Azubike Ihejirika,Onyemoabi Azubike Ihejirika,['Lt.-Gen'],['Lt.-Gen.'],['Chief of Army Staff'],['Chief of Army Staff'],[],[],2,baee185f-1173-44ac-86cc-39571202c0a6,https://github.com/security-force-monitor/nlp_starter_dataset/blob/master/annotated_sources/baee185f-1173-44ac-86cc-39571202c0a6.txt
Mobolaji Koleosho,Mobolaji Koleosho,['Maj-Gen'],['Maj-Gen.'],"['Director, Army Public Relations']","['Director, Army Public Relations']",[],[],4,baee185f-1173-44ac-86cc-39571202c0a6,https://github.com/security-force-monitor/nlp_starter_dataset/blob/master/annotated_sources/baee185f-1173-44ac-86cc-39571202c0a6.txt
Ebiobowei Awala,Ebiobowei Awala,['Maj-Gen'],['Maj-Gen.'],[],[],"['3 Division', '2 Division']",['3 Division'],5,baee185f-1173-44ac-86cc-39571202c0a6,https://github.com/security-force-monitor/nlp_starter_dataset/blob/master/annotated_sources/baee185f-1173-44ac-86cc-39571202c0a6.txt
Ahmed Jibrin,Ahmed Jibrin,['Maj-Gen'],['Maj-Gen'],['GOC'],[],['82 Division'],['2 Division'],5,baee185f-1173-44ac-86cc-39571202c0a6,https://github.com/security-force-monitor/nlp_starter_dataset/blob/master/annotated_sources/baee185f-1173-44ac-86cc-39571202c0a6.txt
Ashimiyu Olaniyi,Ashimiyu Olaniyi,['Maj-Gen'],['Maj-Gen'],"['Commander', 'Commander']",['GOC'],"['Nigerian Army Engineers', 'Army Headquarters Garrison']","['Nigerian Army Engineers', '82 Division']",5,baee185f-1173-44ac-86cc-39571202c0a6,https://github.com/security-force-monitor/nlp_starter_dataset/blob/master/annotated_sources/baee185f-1173-44ac-86cc-39571202c0a6.txt
Obi Umahi,Obi Umahi,['Maj-Gen'],['Maj-Gen.'],['GOC'],['GOC'],['81 Division'],['81 Division'],5,baee185f-1173-44ac-86cc-39571202c0a6,https://github.com/security-force-monitor/nlp_starter_dataset/blob/master/annotated_sources/baee185f-1173-44ac-86cc-39571202c0a6.txt
Obidah Ethan,Obidah Ethan,['Maj-Gen'],['Maj-Gen.'],[],['Commander'],[],['Army Headquarters Garrison'],5,baee185f-1173-44ac-86cc-39571202c0a6,https://github.com/security-force-monitor/nlp_starter_dataset/blob/master/annotated_sources/baee185f-1173-44ac-86cc-39571202c0a6.txt
Kenneth T.J. Minimah,Kenneth T.J. Minimah,['Maj-Gen'],['Maj-Gen.'],"['GOC', 'Commander']","['GOC', 'Commander']","['81 Division', 'Infantry Corps and Centre']","['81 Division', 'Infantry Corps and Centre']",6,baee185f-1173-44ac-86cc-39571202c0a6,https://github.com/security-force-monitor/nlp_starter_dataset/blob/master/annotated_sources/baee185f-1173-44ac-86cc-39571202c0a6.txt
Lawrence Ngubane,Lawrence Ngubane,['Major Genral'],['Major Genral'],"['Chief of Training and Operations', 'Chief of Training and Operations']","['Chief of Training and Operations', 'Chief of Training and Operations']",['Nigerian Army'],['Defence Headquarters'],6,baee185f-1173-44ac-86cc-39571202c0a6,https://github.com/security-force-monitor/nlp_starter_dataset/blob/master/annotated_sources/baee185f-1173-44ac-86cc-39571202c0a6.txt
Jack Nwaogbo,Jack Nwaogbo,['Maj-Gen'],['Maj-Gen.'],"['GOC', 'Chief of Training and Opeartions']","['GOC', 'Chief of Training and Opeartions']",['3 Division'],"['3 Division', 'Army Headquarters']",6,baee185f-1173-44ac-86cc-39571202c0a6,https://github.com/security-force-monitor/nlp_starter_dataset/blob/master/annotated_sources/baee185f-1173-44ac-86cc-39571202c0a6.txt
Mohammed Abubakar,Mohammed Abubakar,['Maj-Gen'],['Maj-Gen.'],"['GOC', 'Chief of Army Administration']","['GOC', 'Chief of Army Administration']","['Defence Headquarters', 'Army Headquarters', '2 Division', 'Army Headquarters']","['2 Division', 'Army Headquarters']",6,baee185f-1173-44ac-86cc-39571202c0a6,https://github.com/security-force-monitor/nlp_starter_dataset/blob/master/annotated_sources/baee185f-1173-44ac-86cc-39571202c0a6.txt
Paul Isang,Paul Isang,['Maj-Gen'],['Maj-Gen'],[],['Chief of Army Standard and Evaluation'],[],[],7,baee185f-1173-44ac-86cc-39571202c0a6,https://github.com/security-force-monitor/nlp_starter_dataset/blob/master/annotated_sources/baee185f-1173-44ac-86cc-39571202c0a6.txt
Shehu Abdul-Kadir,Shehu Abdul-Kadir,['Maj-Gen'],['Maj-Gen.'],[],"['Chief of Army Standard and Evaluation', 'Force Commander']",[],['nternational Support Mission for Mali'],7,baee185f-1173-44ac-86cc-39571202c0a6,https://github.com/security-force-monitor/nlp_starter_dataset/blob/master/annotated_sources/baee185f-1173-44ac-86cc-39571202c0a6.txt
Babagana Munguno,Babagana Munguno,"['Maj-Gen', 'Maj-Gen']",['Maj-Gen.'],[],[],['Nigerian Army Training and Doctrine Command'],['Nigerian Army Training and Doctrine Command'],7,baee185f-1173-44ac-86cc-39571202c0a6,https://github.com/security-force-monitor/nlp_starter_dataset/blob/master/annotated_sources/baee185f-1173-44ac-86cc-39571202c0a6.txt
Daniel Kitchener,Daniel Kitchener,[],['Maj-Gen.'],['Chief of Logistics'],['Chief of Logistics'],['Army Headquarters'],['Army Headquarters'],7,baee185f-1173-44ac-86cc-39571202c0a6,https://github.com/security-force-monitor/nlp_starter_dataset/blob/master/annotated_sources/baee185f-1173-44ac-86cc-39571202c0a6.txt
Emmanuel Bassey,Emmanuel Bassey,['Maj-Gen'],['Maj-Gen.'],"['Chief of Army Standard and Evaluation', 'Force Commander', 'Commander', 'Chief of Policy and Plans']",['Chief of Policy and Plans'],['Support Mission for Mali'],[],7,baee185f-1173-44ac-86cc-39571202c0a6,https://github.com/security-force-monitor/nlp_starter_dataset/blob/master/annotated_sources/baee185f-1173-44ac-86cc-39571202c0a6.txt
Obinali Ariahu,Obinali Ariahu,['Maj-Gen'],['Maj-Gen.'],"['Chief of Research and Development', 'Coordinator, Peacekeeping Operations', 'Commandant', 'Commander']",['Chief of Research and Development'],"['Defence Headquarters;', 'Nigerian Army Peacekeeping Centre;', 'Defence Headquarters']",['Defence Headquarters'],8,baee185f-1173-44ac-86cc-39571202c0a6,https://github.com/security-force-monitor/nlp_starter_dataset/blob/master/annotated_sources/baee185f-1173-44ac-86cc-39571202c0a6.txt
John Zaruwa,ohn Zaruwa,['Maj-Gen'],['Maj-Gen.'],[],"['Coordinator, Peacekeeping Operations']",[],['Ministry of Defence'],8,baee185f-1173-44ac-86cc-39571202c0a6,https://github.com/security-force-monitor/nlp_starter_dataset/blob/master/annotated_sources/baee185f-1173-44ac-86cc-39571202c0a6.txt
Salihu Uba,Salihu Uba,"['Maj-Gen', 'Maj-Gen']",['Maj-Gen.'],[],['Commandant'],"['Ministry of Defence', 'Nigerian Army Signals']",['Nigerian Army Peacekeeping Centre'],8,baee185f-1173-44ac-86cc-39571202c0a6,https://github.com/security-force-monitor/nlp_starter_dataset/blob/master/annotated_sources/baee185f-1173-44ac-86cc-39571202c0a6.txt
Garba Audu,Garba Audu,['Maj-Gen'],['Maj-Gen.'],"['Defence Adviser, UN Headquarters', 'Chief of Logistics', 'Director General', 'Commandant']","['Defence Adviser, UN Headquarters', 'Chief of Logistics']",['Nigerian Army School of Logistics'],['Defence Headquarters'],8,baee185f-1173-44ac-86cc-39571202c0a6,https://github.com/security-force-monitor/nlp_starter_dataset/blob/master/annotated_sources/baee185f-1173-44ac-86cc-39571202c0a6.txt
Ekwenugo Chioba,Ekwenugo Chioba,['Maj-Gen'],['Maj-Gen.'],[],[],[],[],8,baee185f-1173-44ac-86cc-39571202c0a6,https://github.com/security-force-monitor/nlp_starter_dataset/blob/master/annotated_sources/baee185f-1173-44ac-86cc-39571202c0a6.txt
Abubakar Gana,Abubakar Gana,['Maj-Gen'],['Maj-Gen.'],[],['Commandant'],[],['Nigerian Army School of Logistics'],8,baee185f-1173-44ac-86cc-39571202c0a6,https://github.com/security-force-monitor/nlp_starter_dataset/blob/master/annotated_sources/baee185f-1173-44ac-86cc-39571202c0a6.txt
Adekunle Martins,Adekunle Martins,"['Commandant, Maj-Gen']",['Maj-Gen'],['Commander'],"['Commandant', 'Commander']",['Nigerian Army Ordinance Corps'],"['Nigerian Army School of Logistics', 'Nigerian Army Ordinance Corps']",8,baee185f-1173-44ac-86cc-39571202c0a6,https://github.com/security-force-monitor/nlp_starter_dataset/blob/master/annotated_sources/baee185f-1173-44ac-86cc-39571202c0a6.txt
Abayomi Olonisakin,Abayomi Olonisakin,[],['Maj-Gen.'],[],['Commander'],[],['Nigerian Army Signals'],8,baee185f-1173-44ac-86cc-39571202c0a6,https://github.com/security-force-monitor/nlp_starter_dataset/blob/master/annotated_sources/baee185f-1173-44ac-86cc-39571202c0a6.txt
Emmanuel Nienge,Emmanuel Nienge,['Maj-Gen'],['Maj-Gen.'],['Commander'],['Commander'],['Nigerian Army Supply and Transport Corps'],['Nigerian Army Supply and Transport Corps'],9,baee185f-1173-44ac-86cc-39571202c0a6,https://github.com/security-force-monitor/nlp_starter_dataset/blob/master/annotated_sources/baee185f-1173-44ac-86cc-39571202c0a6.txt
John Nwaoga,John Nwaoga,"['Maj-Gen', 'Maj-Gen']",['Maj-Gen.'],[],['Commander'],[],['Nigerian Army Armoured Corps'],9,baee185f-1173-44ac-86cc-39571202c0a6,https://github.com/security-force-monitor/nlp_starter_dataset/blob/master/annotated_sources/baee185f-1173-44ac-86cc-39571202c0a6.txt
Bolaji Koleosho,Bolaji Koleosho,[],['Maj-Gen.'],"['Chief of Civil-Military Affairs', 'Director, Army Public Relations']","['Chief of Civil-Military Affairs', 'Director, Army Public Relations']",[],[],9,baee185f-1173-44ac-86cc-39571202c0a6,https://github.com/security-force-monitor/nlp_starter_dataset/blob/master/annotated_sources/baee185f-1173-44ac-86cc-39571202c0a6.txt
Ibrahim Attahiru,Ibrahim Attahiru,['Brigadier General'],['Brigadier General'],['Army spokesman'],['Army spokesman'],[],[],9,baee185f-1173-44ac-86cc-39571202c0a6,https://github.com/security-force-monitor/nlp_starter_dataset/blob/master/annotated_sources/baee185f-1173-44ac-86cc-39571202c0a6.txt
Bitrus Kwaji,Bitrus Kwaji,['Maj-Gen'],['Maj-Gen.'],['Commander'],[],['Nigerian Army Armoured Corps'],[],9,baee185f-1173-44ac-86cc-39571202c0a6,https://github.com/security-force-monitor/nlp_starter_dataset/blob/master/annotated_sources/baee185f-1173-44ac-86cc-39571202c0a6.txt
Attahiru,,['Gen'],[],['Theatre Commander'],[],['Ops LAFIYA DOLE'],[],1,eeb8a422-93b2-456f-8874-68eedeace90c,https://github.com/security-force-monitor/nlp_starter_dataset/blob/master/annotated_sources/eeb8a422-93b2-456f-8874-68eedeace90c.txt
Ibrahim Attahiru,Ibrahim Attahiru,['Maj.-Gen'],['Maj.-Gen.'],['Theatre Commander'],"['Theatre Commander', 'General Officer Commanding', 'Director of Administration']",['Operation LAFIYA DOLE'],"['Operation LAFIYA DOLE', '82 Division', 'Defence Headquarters']",2,eeb8a422-93b2-456f-8874-68eedeace90c,https://github.com/security-force-monitor/nlp_starter_dataset/blob/master/annotated_sources/eeb8a422-93b2-456f-8874-68eedeace90c.txt
Lucky Irabor,Lucky Irabor,['Maj.-Gen'],['Maj.-Gen.'],['Force Commander'],['Force Commander'],['Multinational Joint Task Force'],['Multinational Joint Task Force'],3,eeb8a422-93b2-456f-8874-68eedeace90c,https://github.com/security-force-monitor/nlp_starter_dataset/blob/master/annotated_sources/eeb8a422-93b2-456f-8874-68eedeace90c.txt
Attahiru,,[],[],['Theatre Command'],[],"['Maimalari Barracks, Headquarters']",[],4,eeb8a422-93b2-456f-8874-68eedeace90c,https://github.com/security-force-monitor/nlp_starter_dataset/blob/master/annotated_sources/eeb8a422-93b2-456f-8874-68eedeace90c.txt
Tukur Buratai,Tukur Buratai,['Major-General'],['Major-General'],['Chief of Army Staff'],['Chief of Army Staff'],[],[],2,efd4f30d-9d8e-4df4-8fac-5ef7b8c3135e,https://github.com/security-force-monitor/nlp_starter_dataset/blob/master/annotated_sources/efd4f30d-9d8e-4df4-8fac-5ef7b8c3135e.txt
Adeniyi Oyebade,Adeniyi Oyebade,['Major General'],['Major General'],"['GOC', 'Deputy Commandant']","['GOC', 'Deputy Commandant']",['‘1’ Division'],"['‘1’ Division', 'National Defence College']",6,efd4f30d-9d8e-4df4-8fac-5ef7b8c3135e,https://github.com/security-force-monitor/nlp_starter_dataset/blob/master/annotated_sources/efd4f30d-9d8e-4df4-8fac-5ef7b8c3135e.txt
L.C. Ilo,L.C. Ilo,['Major-General'],['Major-General'],['GOC'],['GOC'],"['National Defence College', '2 Division']",['2 Division'],6,efd4f30d-9d8e-4df4-8fac-5ef7b8c3135e,https://github.com/security-force-monitor/nlp_starter_dataset/blob/master/annotated_sources/efd4f30d-9d8e-4df4-8fac-5ef7b8c3135e.txt
SM Muazu,M Muazu,['Major-General'],['Major-General'],[],['Commander'],[],['Infantry Corps'],6,efd4f30d-9d8e-4df4-8fac-5ef7b8c3135e,https://github.com/security-force-monitor/nlp_starter_dataset/blob/master/annotated_sources/efd4f30d-9d8e-4df4-8fac-5ef7b8c3135e.txt
H. Umaru,H. Umaru,['Major-General'],['Major-General'],"['Commander', 'GOC']",['GOC'],"['Infantry Corps', '3 Armoured Division']",['3 Armoured Division'],6,efd4f30d-9d8e-4df4-8fac-5ef7b8c3135e,https://github.com/security-force-monitor/nlp_starter_dataset/blob/master/annotated_sources/efd4f30d-9d8e-4df4-8fac-5ef7b8c3135e.txt
MA Koleoso,MA Koleoso,['Major-General'],['Major-General'],['Chief of Defence Staff'],['Commander'],[],['Training and Doctrine Command'],7,efd4f30d-9d8e-4df4-8fac-5ef7b8c3135e,https://github.com/security-force-monitor/nlp_starter_dataset/blob/master/annotated_sources/efd4f30d-9d8e-4df4-8fac-5ef7b8c3135e.txt
Major General Olonishakin,Olonishakin,[],['Major General'],[],"['Chief of Defence Staff', 'Director of Administration']",[],['Defence Headquarters'],7,efd4f30d-9d8e-4df4-8fac-5ef7b8c3135e,https://github.com/security-force-monitor/nlp_starter_dataset/blob/master/annotated_sources/efd4f30d-9d8e-4df4-8fac-5ef7b8c3135e.txt
H. Edet,H. Edet,['Major General'],['Major General'],"['GOC', 'Commandant']","['GOC', 'Commandant']","['Defence Headquarters;', '81 Division']","['81 Division', 'Nigerian Army Training Centre']",7,efd4f30d-9d8e-4df4-8fac-5ef7b8c3135e,https://github.com/security-force-monitor/nlp_starter_dataset/blob/master/annotated_sources/efd4f30d-9d8e-4df4-8fac-5ef7b8c3135e.txt
Ibrahim Attahiru,Ibrahim Attahiru,['Brigadier-General'],['Brigadier-Genera'],"['Director of Administration', 'Brigade Commander', 'Acting GOC']","['Brigade Commander', 'Acting GOC']","['Nigerian Army Training Centre', '13 Brigade', '82 Division']","['13 Brigade', '82 Division']",7,efd4f30d-9d8e-4df4-8fac-5ef7b8c3135e,https://github.com/security-force-monitor/nlp_starter_dataset/blob/master/annotated_sources/efd4f30d-9d8e-4df4-8fac-5ef7b8c3135e.txt
S. Yusuf,S. Yusuf,['Major-General'],['Major-General'],"['Commander', 'Chief of Training and Operations']",['Chief of Training and Operations'],"['Training and Doctrine Command', 'Defence Headquarters']",['Defence Headquarters'],7,efd4f30d-9d8e-4df4-8fac-5ef7b8c3135e,https://github.com/security-force-monitor/nlp_starter_dataset/blob/master/annotated_sources/efd4f30d-9d8e-4df4-8fac-5ef7b8c3135e.txt
F.O. Alli,F.O. Alli,['Major-General'],['Major-General'],"['GOC', 'Chief of Training and Operations']","['GOC', 'Chief of Training and Operations']",['3 Division'],"['3 Division', 'Army Headquarters;']",8,efd4f30d-9d8e-4df4-8fac-5ef7b8c3135e,https://github.com/security-force-monitor/nlp_starter_dataset/blob/master/annotated_sources/efd4f30d-9d8e-4df4-8fac-5ef7b8c3135e.txt
Major-General Ogunewe,Ogunewe,[],['Major-General'],"['Defence Adviser New York', 'Chief of Policy and Plans;']","['Defence Adviser New York', 'Chief of Policy and Plans']",['Army Headquarters;'],[],8,efd4f30d-9d8e-4df4-8fac-5ef7b8c3135e,https://github.com/security-force-monitor/nlp_starter_dataset/blob/master/annotated_sources/efd4f30d-9d8e-4df4-8fac-5ef7b8c3135e.txt
Christopher Jemitola,Christopher Jemitola,['Major General'],['Major General'],[],['Commander'],['Corp of Signal Headquarters'],['Corp of Signal Headquarters'],8,efd4f30d-9d8e-4df4-8fac-5ef7b8c3135e,https://github.com/security-force-monitor/nlp_starter_dataset/blob/master/annotated_sources/efd4f30d-9d8e-4df4-8fac-5ef7b8c3135e.txt
A.T Hamman,A.T Hamman,['Brigadier General'],['Brigadier General'],['Commander'],['Provost-Marshal'],[],['Nigerian Army'],8,efd4f30d-9d8e-4df4-8fac-5ef7b8c3135e,https://github.com/security-force-monitor/nlp_starter_dataset/blob/master/annotated_sources/efd4f30d-9d8e-4df4-8fac-5ef7b8c3135e.txt
A.H. Sahad,A.H. Sahad,['Brigadier General'],['Brigadier General'],"['Provost-Marshal', 'Director of Defence Intelligence']",['Director of Defence Intelligence'],['Nigerian Army;'],[],8,efd4f30d-9d8e-4df4-8fac-5ef7b8c3135e,https://github.com/security-force-monitor/nlp_starter_dataset/blob/master/annotated_sources/efd4f30d-9d8e-4df4-8fac-5ef7b8c3135e.txt
Ilyasu Abbah,Ilyasu Abbah,['Major General'],['Major Genera'],"['Commander', 'Military Secretary (Army)']","['Commander', 'Military Secretary (Army)']",['Multi-national Joint Task Force'],['Multi-national Joint Task Force'],9,efd4f30d-9d8e-4df4-8fac-5ef7b8c3135e,https://github.com/security-force-monitor/nlp_starter_dataset/blob/master/annotated_sources/efd4f30d-9d8e-4df4-8fac-5ef7b8c3135e.txt
Tukur Buratai,Tukur Buratai,['Major-General'],['Major-General'],['Chief of Army Staff'],"['Chief of Army Staff', 'Commander']",[],['Multi-national Joint Task Force'],9,efd4f30d-9d8e-4df4-8fac-5ef7b8c3135e,https://github.com/security-force-monitor/nlp_starter_dataset/blob/master/annotated_sources/efd4f30d-9d8e-4df4-8fac-5ef7b8c3135e.txt
L.W. Wiwa,L.W. Wiwa,['Major-General'],['Major-General'],"['Deputy Commandant', 'Director of Administration']","['Director of Military Intelligence', 'Deputy Commandant']",[],['Armed Forces Resettlement Centre'],10,efd4f30d-9d8e-4df4-8fac-5ef7b8c3135e,https://github.com/security-force-monitor/nlp_starter_dataset/blob/master/annotated_sources/efd4f30d-9d8e-4df4-8fac-5ef7b8c3135e.txt
PAT Akem,PAT Akem,['Major-General'],['Major-General'],['Provost Marshall'],"['Provost Marshall', 'Director of Administratio']",['Armed Forces Resettlement Centre'],['Army headquarters'],10,efd4f30d-9d8e-4df4-8fac-5ef7b8c3135e,https://github.com/security-force-monitor/nlp_starter_dataset/blob/master/annotated_sources/efd4f30d-9d8e-4df4-8fac-5ef7b8c3135e.txt
BT Ndiomu,BT Ndiomu,['Major General'],['Major General'],[],"['Commander', 'Director, Simulation Centre']",['Army headquarters;'],['Army Headquarters Garrison'],10,efd4f30d-9d8e-4df4-8fac-5ef7b8c3135e,https://github.com/security-force-monitor/nlp_starter_dataset/blob/master/annotated_sources/efd4f30d-9d8e-4df4-8fac-5ef7b8c3135e.txt
C.O Udeh,C.O Udeh,['Major General'],['Major General'],"['Director of Military Intelligence', 'Commander', 'Director, Simulation Centre;', 'Commander']",['Commander'],"['Army Headquarters Garrison', 'Special Military Task Force']",['Special Military Task Force'],10,efd4f30d-9d8e-4df4-8fac-5ef7b8c3135e,https://github.com/security-force-monitor/nlp_starter_dataset/blob/master/annotated_sources/efd4f30d-9d8e-4df4-8fac-5ef7b8c3135e.txt
SM Bello,SM Bello,['Brigadier-General'],['Brigadier-General'],['Brigade Commander'],"['Brigade Commander', 'Director of Operations']","['34 Brigade Owerri', 'Army headquarters']","['34 Brigade', 'Army headquarters']",12,efd4f30d-9d8e-4df4-8fac-5ef7b8c3135e,https://github.com/security-force-monitor/nlp_starter_dataset/blob/master/annotated_sources/efd4f30d-9d8e-4df4-8fac-5ef7b8c3135e.txt
O. Ofoche,O. Ofoche,['Brigadier General'],['Brigadier General'],[],['Brigade Commander'],[],['34 Artillery Brigade'],12,efd4f30d-9d8e-4df4-8fac-5ef7b8c3135e,https://github.com/security-force-monitor/nlp_starter_dataset/blob/master/annotated_sources/efd4f30d-9d8e-4df4-8fac-5ef7b8c3135e.txt
AO Olabanji,AO Olabanji,['Brigadier-General'],['Brigadier-General'],"['Director of Operations;', 'Brigade Commander']",['Brigade Commander'],"['34 Artillery Brigade;', '2 Brigade']",['2 Brigade'],12,efd4f30d-9d8e-4df4-8fac-5ef7b8c3135e,https://github.com/security-force-monitor/nlp_starter_dataset/blob/master/annotated_sources/efd4f30d-9d8e-4df4-8fac-5ef7b8c3135e.txt
AM Dikko,AM Dikko,['Brigadier-General'],['Brigadier-General'],"['Brigade Commander', 'Acting Commander', 'Commander']","['Acting Commander', 'Commander']","['Army Headquarters Garrison', '31 Brigade']","['Army Headquarters Garrison', '31 Brigade']",12,efd4f30d-9d8e-4df4-8fac-5ef7b8c3135e,https://github.com/security-force-monitor/nlp_starter_dataset/blob/master/annotated_sources/efd4f30d-9d8e-4df4-8fac-5ef7b8c3135e.txt
Rabe Abubakar,Rabe Abubakar,['Colonel'],['Colonel'],[],"['Acting Director of Defence Information', 'Commandant']",[],['Nigerian Army Information School'],13,efd4f30d-9d8e-4df4-8fac-5ef7b8c3135e,https://github.com/security-force-monitor/nlp_starter_dataset/blob/master/annotated_sources/efd4f30d-9d8e-4df4-8fac-5ef7b8c3135e.txt
Chris Olukolade,Chris Olukolade,['Major-General'],['Major-General'],"['Acting Director of Defence Information', 'Commandant']",['Acting Director of Defence Information'],['Nigerian Army Information School'],['Nigerian Army Information School'],13,efd4f30d-9d8e-4df4-8fac-5ef7b8c3135e,https://github.com/security-force-monitor/nlp_starter_dataset/blob/master/annotated_sources/efd4f30d-9d8e-4df4-8fac-5ef7b8c3135e.txt
Emmanuel Atewe,Emmanuel Atewe,['Major General'],['Major General'],"['Commander', 'Chief of Logistics;']","['Commander', 'Chief of Logistics']","['Defence headquarters', 'Joint Task Force, Operation Pulo Shield']","['Defence headquarters', 'oint Task Force, Operation Pulo Shield']",14,efd4f30d-9d8e-4df4-8fac-5ef7b8c3135e,https://github.com/security-force-monitor/nlp_starter_dataset/blob/master/annotated_sources/efd4f30d-9d8e-4df4-8fac-5ef7b8c3135e.txt
M.T. Ibrahim,M.T. Ibrahim,['Major-General'],['Major-Genera'],['Commandant'],['Commandant'],['Nigerian Defence Academy'],['Nigerian Defence Academy'],14,efd4f30d-9d8e-4df4-8fac-5ef7b8c3135e,https://github.com/security-force-monitor/nlp_starter_dataset/blob/master/annotated_sources/efd4f30d-9d8e-4df4-8fac-5ef7b8c3135e.txt
Buhari,,[],[],[],[],[],[],16,efd4f30d-9d8e-4df4-8fac-5ef7b8c3135e,https://github.com/security-force-monitor/nlp_starter_dataset/blob/master/annotated_sources/efd4f30d-9d8e-4df4-8fac-5ef7b8c3135e.txt
Muhammadu Buhari,,[],[],[],[],[],[],17,efd4f30d-9d8e-4df4-8fac-5ef7b8c3135e,https://github.com/security-force-monitor/nlp_starter_dataset/blob/master/annotated_sources/efd4f30d-9d8e-4df4-8fac-5ef7b8c3135e.txt
Paul Biya,,[],[],[],[],[],[],19,efd4f30d-9d8e-4df4-8fac-5ef7b8c3135e,https://github.com/security-force-monitor/nlp_starter_dataset/blob/master/annotated_sources/efd4f30d-9d8e-4df4-8fac-5ef7b8c3135e.txt
Paul Okocha,,[],[],[],[],[],[],29,efd4f30d-9d8e-4df4-8fac-5ef7b8c3135e,https://github.com/security-force-monitor/nlp_starter_dataset/blob/master/annotated_sources/efd4f30d-9d8e-4df4-8fac-5ef7b8c3135e.txt
Ebere Valentine,,[],[],[],[],[],[],31,efd4f30d-9d8e-4df4-8fac-5ef7b8c3135e,https://github.com/security-force-monitor/nlp_starter_dataset/blob/master/annotated_sources/efd4f30d-9d8e-4df4-8fac-5ef7b8c3135e.txt
Paul Biya,,[],[],[],[],[],[],35,efd4f30d-9d8e-4df4-8fac-5ef7b8c3135e,https://github.com/security-force-monitor/nlp_starter_dataset/blob/master/annotated_sources/efd4f30d-9d8e-4df4-8fac-5ef7b8c3135e.txt
